"Judul","Title_URL","Update","Agen","Jenis_Rumah","Lokasi","KT","KM","Garasi","LT","LB","KPR_bulanan","Harga","Harga_New","Juta"
"Rumah Siap Huni Sangat Nyaman Di Bukitsari Semarang","https://www.rumah123.com/properti/semarang/hos16748798/","Diperbarui 23 menit yang lalu oleh","Ginanjar","Rumah","Banyumanik, Semarang","5","3","1","399","273","10","2.9","2.9","0.001"
"Rumah 2 Lantai di Pusponjolo Semarang Barat Dekat Kota, Semarang","https://www.rumah123.com/properti/semarang/hos16645082/","Diperbarui 1 minggu yang lalu oleh","Rikza Bashony","Rumah","Semarang Barat, Semarang","6","3","","252","410","11","3","3",""
"Rumah 2 Lantai Mewah Lingkungan Eksklusif di Ngaliyan Semarang Barat","https://www.rumah123.com/properti/semarang/hos16748720/","Diperbarui 1 jam yang lalu oleh","Surono Mundiharjo","Rumah","Semarang Barat, Semarang","3","3","1","120","110","5","1.6","1.6",""
"dijual Rumah 2 Lantai di taman sari hills Bagus","https://www.rumah123.com/properti/semarang/hos16748664/","Diperbarui 1 jam yang lalu oleh","Lili Susanto","Rumah","Tembalang, Semarang","4","3","1","200","100","8","2.2","2.2",""
"Rumah Siap Huni Di Tirto Agung Banyumanik Semarang","https://www.rumah123.com/properti/semarang/hos16748573/","Diperbarui 2 jam yang lalu oleh","Didik C","Rumah","Banyumanik, Semarang","4","3","2","300","200","11","3.2","3.2",""
"Rumah Bagus Ada Ruang Usaha di Tlogomulyo Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos16737687/","Diperbarui 3 jam yang lalu oleh","Novy","Rumah","Pedurungan, Semarang","3","2","1","125","100","2","785","0.785",""
"Rumah View Laut Siap Huni di Jalan Utama Ngaliyan Semarang","https://www.rumah123.com/properti/semarang/hos16737691/","Diperbarui 3 jam yang lalu oleh","Novy","Rumah","Ngaliyan, Semarang","3","4","1","160","320","6","1.85","1.85",""
"Rumah 2 Lantai Bagus Terawat Dekat Bandara Puri Anjasmoro","https://www.rumah123.com/properti/semarang/hos16737686/","Diperbarui 3 jam yang lalu oleh","Novy","Rumah","Semarang Barat, Semarang","3","2","1","240","300","7","2","2",""
"Rumah Bagus Terawat Jalan Lebar 2 Arah di Tanah Mas Semarang","https://www.rumah123.com/properti/semarang/hos16737685/","Diperbarui 3 jam yang lalu oleh","Novy","Rumah","Semarang Utara, Semarang","4","2","1","240","300","9","2.45","2.45",""
"Rumah 1 Lantai Timur Kota Semarang Cicilan 2Jtan","https://www.rumah123.com/properti/semarang/hos16748416/","Diperbarui 4 jam yang lalu oleh","Ichsan Novandra","Rumah","Semarang Timur, Semarang","2","1","1","70","55","1","450","0.45",""
"Rumah 2 Lantai Di Dalam Perumahan Cluster Semarang PROMO Gratis Biaya Biaya","https://www.rumah123.com/properti/semarang/hos16748396/","Diperbarui 4 jam yang lalu oleh","Ichsan Novandra","Rumah","Semarang Selatan, Semarang","3","3","2","136","176","12","3.35","3.35",""
"Perumahan Cluster Siap Huni PROMO Gratis biaya biaya","https://www.rumah123.com/properti/semarang/hos16748381/","Diperbarui 4 jam yang lalu oleh","RISAN PROPERTY LANCAR","Rumah","Tembalang, Semarang","3","3","2","136","176","12","3.35","3.35",""
"Ready Unit Rumah Timur Kota Semarang Murah","https://www.rumah123.com/properti/semarang/hos16747614/","Diperbarui 7 jam yang lalu oleh","RISAN PROPERTY LANCAR","Rumah","Semarang Timur, Semarang","2","1","1","77","55","1","450","0.45",""
"Rumah Bagus 3 Kamar Tidur di D Beringin Hills , Semarang","https://www.rumah123.com/properti/semarang/hos16747481/","Diperbarui 11 jam yang lalu oleh","Moh Heru Mulyono","Rumah
Featured","Ngaliyan, Semarang","3","2","1","120","60","2","650","0.65",""
"Dijual kos Gunung pati murah dekat kampus Unnes kota Semarang","https://www.rumah123.com/properti/semarang/hos16747333/","Diperbarui 11 jam yang lalu oleh","Yusi  ardiyani","Rumah","Gunung Pati, Semarang","3","3","","69","50","1","375","0.375",""
"di Rumah Luas Murah Permata Puri Ngaliyan, Semarang","https://www.rumah123.com/properti/semarang/hos16549153/","Diperbarui 3 minggu yang lalu oleh","Rikza Bashony","Rumah","Ngaliyan, Semarang","4","3","","150","250","4","1.2","1.2",""
"Rumah dekat undip, sumur boto banyumanik","https://www.rumah123.com/properti/semarang/hos16747201/","Diperbarui 11 jam yang lalu oleh","Nur biyanto","Rumah","Banyumanik, Semarang","3","3","1","200","180","8","2.2","2.2",""
"Rumah Kolam Renang Pribadi Arfana Green Ngaliyan , Semarang","https://www.rumah123.com/properti/semarang/hos16747183/","Diperbarui 11 jam yang lalu oleh","Rikza Bashony","Rumah","Ngaliyan, Semarang","2","1","","120","60","2","750","0.75",""
"Cuma 300 Rumah di Beringin Ngaliyan Kondisi Bagus SHM","https://www.rumah123.com/properti/semarang/hos16505875/","Diperbarui 3 minggu yang lalu oleh","Else Property","Rumah","Ngaliyan, Semarang","2","1","1","60","42","1","335","0.335",""
"Rumah Dijual Murah Hook di Jalan Raya Barito Semarang","https://www.rumah123.com/properti/semarang/hos13921431/","Diperbarui 3 bulan yang lalu oleh","Hery Purnomo","Rumah","Semarang Timur, Semarang","7","2","1","317","350","9","2.5","2.5",""
"Dijual Rumah 2 Lantai di Citrasun Garden Semarang","https://www.rumah123.com/properti/semarang/hos16625909/","Diperbarui 12 jam yang lalu oleh","ALBA GROUP","Rumah","Banyumanik, Semarang","3","2","1","90","105","6","1.7","1.7",""
"rumah siap huni di taman asri residence sumurrejo gunungpati","https://www.rumah123.com/properti/semarang/hos16746924/","Diperbarui 12 jam yang lalu oleh","Rizal Zulmi","Rumah","Gunung Pati, Semarang","3","2","1","120","150","2","600","0.6",""
"Rumah Baru! Strategis Tengah Kota,  Bisa untuk usaha , Semarang Si 5172","https://www.rumah123.com/properti/semarang/hos14135556/","Diperbarui 1 bulan yang lalu oleh","Sintia redland","Rumah","Semarang Tengah, Semarang","6","6","4","250","350","16","4.5","4.5",""
"DiJual Rumah Beruang, Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos16746033/","Diperbarui 15 jam yang lalu oleh","Chandra","Rumah","Gayamsari, Semarang","5","3","","240","360","5","1.5","1.5",""
"Dijual Rumah LT 157 di Purwoyoso Ngaliyan Semarang","https://www.rumah123.com/properti/semarang/hos16299006/","Diperbarui 15 jam yang lalu oleh","ALBA GROUP","Rumah","Ngaliyan, Semarang","3","2","1","157","130","2","725","0.725",""
"Rumah Klasik Candi Kencana Manyaran Gebyok Jati, Semarang","https://www.rumah123.com/properti/semarang/hos16549031/","Diperbarui 3 minggu yang lalu oleh","Rikza Bashony","Rumah","Semarang Barat, Semarang","4","1","","150","150","4","1.2","1.2",""
"PROMO RUMAH 2 LANTAI DI KLIPANG SEMARANG","https://www.rumah123.com/properti/semarang/hos16745040/","Diperbarui 17 jam yang lalu oleh","Rahmat Jaya Property","Rumah","Semarang Tengah, Semarang","2","1","1","65","55","1","499","0.499",""
"RUMAH 1 LANTAI KALASAN RESIDENCE PASADENA CLUSTER SIAP HUNI","https://www.rumah123.com/properti/semarang/hos16745099/","Diperbarui 9 jam yang lalu oleh","Ariya","Rumah","Semarang Barat, Semarang","3","2","2","198","150","6","1.65","1.65",""
"RUMAH 2 LANTAI CITRAGRAND 5 KAMAR FULL FURNISHED","https://www.rumah123.com/properti/semarang/hos16745075/","Diperbarui 17 jam yang lalu oleh","Ariya","Rumah","Semarang Timur, Semarang","5","2","","180","290","13","3.6","3.6",""
"RUMAH 2 LANTAI CITRAGRAND 5 KAMAR FULL FURNISHED","https://www.rumah123.com/properti/semarang/hos16745073/","Diperbarui 17 jam yang lalu oleh","RUTH JANE (HXXT)","Rumah","Semarang Timur, Semarang","5","2","","180","290","13","3.6","3.6",""
"Rumah di tengah kota","https://www.rumah123.com/properti/semarang/hos16744781/","Diperbarui 7 jam yang lalu oleh","Vivi","Rumah","Semarang Barat, Semarang","3","2","1","150","120","3","900","0.9",""
"Rumah Di Krapyak Semarang Barat Dekat Gerbang Tol Krapyak","https://www.rumah123.com/properti/semarang/hos16744737/","Diperbarui 17 jam yang lalu oleh","Yunita","Rumah","Semarang Barat, Semarang","2","2","1","90","88","2","800","0.8",""
"Rumah di Daerah Banyumanik , Semarang Si 6369","https://www.rumah123.com/properti/semarang/hos16744687/","Diperbarui 17 jam yang lalu oleh","Sintia Redland","Rumah","Banyumanik, Semarang","6","2","","378","350","10","2.8","2.8",""
"Rumah di Pudak Payung Banyumanik Semarang","https://www.rumah123.com/properti/semarang/hos16744601/","Diperbarui 17 jam yang lalu oleh","Else Susilowaty","Rumah","Banyumanik, Semarang","4","2","","374","125","3","1","1",""
"RUMAH ASRI FULL FURNISHED SIAP HUNI DI SEMARANG","https://www.rumah123.com/properti/semarang/hos16744347/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Mijen, Semarang","2","1","","120","80","2","620","0.62",""
"RUMAH TENGAH KOTA SEMARANG BEBAS BANJIR","https://www.rumah123.com/properti/semarang/hos16744343/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Semarang Utara, Semarang","2","1","","200","125","4","1.3","1.3",""
"RUMAH SEDERHANA DI LINGKUNGAN ASRI DAN NYAMAN","https://www.rumah123.com/properti/semarang/hos16744340/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Mijen, Semarang","2","1","","177","60","5","1.5","1.5",""
"BELI 1 RUMAH DAPAT 2 RUMAH BISA UNTUK KOS2 AN","https://www.rumah123.com/properti/semarang/hos16744339/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Ngaliyan, Semarang","6","1","","180","180","6","1.7","1.7",""
"RUMAH DI NGALIYAN MURAH MERIAH DEKAT KOTA","https://www.rumah123.com/properti/semarang/hos16744336/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Ngaliyan, Semarang","2","1","","60","60","1","450","0.45",""
"RUMAH SEDERHANA YANG NYAMAN DAN EKSKLUSIF DI BSB VILLAGE SEMARANG","https://www.rumah123.com/properti/semarang/hos16744335/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Mijen, Semarang","2","1","","120","34","2","540","0.54",""
"RUMAH 2 LANTAI BEBAS BANJIR DI TENGAH KOTA SEMARANG","https://www.rumah123.com/properti/semarang/hos16744333/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Semarang Barat, Semarang","3","2","","72","83","5","1.35","1.35",""
"HUNIAN ASRI DAN ELEGAN DI MIJEN BEBAS BANJIR","https://www.rumah123.com/properti/semarang/hos16744317/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Mijen, Semarang","2","1","","120","45","1","485","0.485",""
"Rumah Murah Siap Huni Di Pudak Payung Banyumanik Semarang","https://www.rumah123.com/properti/semarang/hos16744048/","Diperbarui 18 jam yang lalu oleh","Yunita","Rumah","Banyumanik, Semarang","6","3","1","296","175","3","1","1",""
"Ruma Cantik Murah Di Perum Graha Mulya Sendangmulyo Tembalang","https://www.rumah123.com/properti/semarang/hos16743731/","Diperbarui 18 jam yang lalu oleh","Yunita","Rumah","Tembalang, Semarang","2","1","1","75","75","1","380","0.38",""
"Dijual Rumah Bagus di Perumahan Panorama Banjaran Ngaliyan Semarang","https://www.rumah123.com/properti/semarang/hos16722230/","Diperbarui 3 hari yang lalu oleh","ALBA GROUP","Rumah","Ngaliyan, Semarang","2","2","1","120","120","2","685","0.685",""
"Rumah Mewah Di Alamanda Residence Mangunhharjo Tembalang","https://www.rumah123.com/properti/semarang/hos16743579/","Diperbarui 18 jam yang lalu oleh","Yunita","Rumah","Tembalang, Semarang","3","3","2","231","120","7","1.95","1.95",""
"Dijual Rumah di Citra Grand Main road Tembalang Semarang","https://www.rumah123.com/properti/semarang/hos15898575/","Diperbarui 18 jam yang lalu oleh","Rikza Bashony","Rumah","Tembalang, Semarang","5","3","1","190","273","13","3.7","3.7",""
"Rumah Bagus di Bukitsari Ngesrep Banyumanik, Semarang","https://www.rumah123.com/properti/semarang/hos16743373/","Diperbarui 19 jam yang lalu oleh","Miftakhul Ulfa Dyanasari","Rumah","Banyumanik, Semarang","3","3","2","399","273","10","2.9","2.9",""
"Dijual Rumah di Cluster Malibu Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos15898560/","Diperbarui 3 minggu yang lalu oleh","Rikza Bashony","Rumah","Pedurungan, Semarang","3","2","","152","80","2","750","0.75",""
"Rumah 2 Lantai di Durian Ngaliyan Semarang, Semarang","https://www.rumah123.com/properti/semarang/hos16742874/","Diperbarui 19 jam yang lalu oleh","Miftakhul Ulfa Dyanasari","Rumah","Ngaliyan, Semarang","4","2","1","155","155","4","1.2","1.2",""
"Rumah di Taman Marina , Semarang Me 6365","https://www.rumah123.com/properti/semarang/hos16722665/","Diperbarui 19 jam yang lalu oleh","Melisa Redland","Rumah","Semarang Barat, Semarang","2","1","","105","105","2","595","0.595",""
"CITRASUN GARDEN BUKIT SARI, RUMAH 2 LANTAI DI CITRASUN SEMARANG","https://www.rumah123.com/properti/semarang/hos16534654/","Diperbarui 3 minggu yang lalu oleh","Else Property","Rumah","Banyumanik, Semarang","4","3","","200","270","12","3.4","3.4",""
"Dijual Rumah di Rasamala Utara Jati Banyumanik","https://www.rumah123.com/properti/semarang/hos16742585/","Diperbarui 19 jam yang lalu oleh","Miftakhul Ulfa Dyanasari","Rumah","Banyumanik, Semarang","2","1","1","84","50","2","595","0.595",""
"Dijual rumah SHM di syuhada permai pedurungan","https://www.rumah123.com/properti/semarang/hos16742541/","Diperbarui 7 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","2","1","1","97","60","2","600","0.6",""
"Dijual unit perumahan SHM Athaya residence pedurungan","https://www.rumah123.com/properti/semarang/hos16742523/","Diperbarui 19 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","3","2","1","60","60","2","575","0.575",""
"Dijual unit perumahan eksklusif di BPD pedurungan","https://www.rumah123.com/properti/semarang/hos16742503/","Diperbarui 7 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","2","1","1","100","63","2","595","0.595",""
"Dijual SHM rumah baru grand depok asri pedurungan","https://www.rumah123.com/properti/semarang/hos16176250/","Diperbarui 19 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","2","1","1","100","50","1","497","0.497",""
"Hunian strategis ready perumahan dolog pedurungan","https://www.rumah123.com/properti/semarang/hos16495689/","Diperbarui 19 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","2","1","1","85","56","2","550","0.55",""
"Dijual unit rumah 2 lantai di raish townhouse pedurungan","https://www.rumah123.com/properti/semarang/hos16001746/","Diperbarui 19 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","3","2","1","70","65","2","599","0.599",""
"Dijual hunian baru SHM di jaten pedurungan semarang","https://www.rumah123.com/properti/semarang/hos16495473/","Diperbarui 19 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","3","1","1","120","60","2","700","0.7",""
"Ready unit rumah 2 Lantai di citra grand tembalang","https://www.rumah123.com/properti/semarang/hos16742399/","Diperbarui 20 jam yang lalu oleh","Rochman Property","Rumah","Tembalang, Semarang","3","2","1","90","150","5","1.4","1.4",""
"Dapatkan unit rumah cluster graha fatro pedurungan","https://www.rumah123.com/properti/semarang/hos16742382/","Diperbarui 20 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","3","2","1","175","70","2","775","0.775",""
"Dijual rumah cantik strategis jalan kanfer raya banyumanik","https://www.rumah123.com/properti/semarang/hos16742340/","Diperbarui 20 jam yang lalu oleh","Luise Meytradewi","Rumah","Banyumanik, Semarang","4","3","1","176","115","9","2.5","2.5",""
"Dijual rumah baru SHM di dolog lor pedurungan","https://www.rumah123.com/properti/semarang/hos16742367/","Diperbarui 20 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","2","1","1","95","45","1","495","0.495",""
"Dijual unit rumah baru perum BPD pedurungan","https://www.rumah123.com/properti/semarang/hos16742352/","Diperbarui 20 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","2","1","1","100","50","2","595","0.595",""
"Rumah Cantik Minimalis Lingkungan Sejuk Forest Hill, Bsb Mijen 11.315 mrt","https://www.rumah123.com/properti/semarang/hos16742343/","Diperbarui 20 jam yang lalu oleh","Lisa","Rumah","Semarang Barat, Semarang","3","1","","194","70","7","2","2",""
"Dijual unit rumah 2 Lantai cluster raflesia pedurungan","https://www.rumah123.com/properti/semarang/hos16742335/","Diperbarui 7 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","3","2","1","84","82","4","1.12","1.12",""
"Dijual unit rumah green tlogosalma pedurungan","https://www.rumah123.com/properti/semarang/hos16742160/","Diperbarui 20 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","3","2","1","150","65","3","859","0.859",""
"Ready unit perumahan SHM di graha astina tembalang","https://www.rumah123.com/properti/semarang/hos16742108/","Diperbarui 7 jam yang lalu oleh","Rochman Property","Rumah","Tembalang, Semarang","3","2","1","159","70","3","942","0.942",""
"Rumah Cluster Siap Huni Jalan Lebar di Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos16741957/","Diperbarui 20 jam yang lalu oleh","Davina DC","Rumah","Pedurungan, Semarang","3","3","1","348","450","10","2.8","2.8",""
"Rumah borobudur tembalang","https://www.rumah123.com/properti/semarang/hos16741824/","Diperbarui 20 jam yang lalu oleh","Nur biyanto","Rumah","Tembalang, Semarang","2","2","","65","40","1","500","0.5",""
"Dijual Rumah Semi Furnish Di Graha Estetika Banyumanik","https://www.rumah123.com/properti/semarang/hos15898546/","Diperbarui 20 jam yang lalu oleh","Rikza Bashony","Rumah","Banyumanik, Semarang","3","2","","240","200","11","3.2","3.2",""
"Rumah Cantik Minimalis Lingkungan Sejuk Forest Hill, Bsb Mijen 11.315 Mrt","https://www.rumah123.com/properti/semarang/hos16741737/","Diperbarui 21 jam yang lalu oleh","Inneke Mulyono","Rumah","Semarang Barat, Semarang","3","1","","194","70","7","2","2",""
"Rumah di Permata Puri Ngaliyan Semarang","https://www.rumah123.com/properti/semarang/hos16741640/","Diperbarui 21 jam yang lalu oleh","Else Susilowaty","Rumah","Ngaliyan, Semarang","2","1","","120","48","4","1.2","1.2",""
"Rumah Kost Murah di Tlagabodas Gajahmungkur Dekat Akpol","https://www.rumah123.com/properti/semarang/hos16741656/","Diperbarui 21 jam yang lalu oleh","Rikza Bashony","Rumah","Gajah Mungkur, Semarang","12","12","","326","350","11","3.2","3.2",""
"Dijual unit cluster 2 Lantai villa garden Banyumanik","https://www.rumah123.com/properti/semarang/hos16741573/","Diperbarui 21 jam yang lalu oleh","Rochman Property","Rumah","Banyumanik, Semarang","3","2","1","66","72","1","530","0.53",""
"Dijual unit rumah villa Tirto agung tembalang","https://www.rumah123.com/properti/semarang/hos16741561/","Diperbarui 21 jam yang lalu oleh","Rochman Property","Rumah","Tembalang, Semarang","3","2","2","125","100","5","1.45","1.45",""
"Ready hunian strategis di mandipa residence tembalang","https://www.rumah123.com/properti/semarang/hos16741498/","Diperbarui 7 jam yang lalu oleh","Rochman Property","Rumah","Tembalang, Semarang","5","4","2","100","120","6","1.65","1.65",""
"Ready hunian strategis maja cluster gayamsari","https://www.rumah123.com/properti/semarang/hos16696653/","Diperbarui 21 jam yang lalu oleh","Rochman Property","Rumah","Gayamsari, Semarang","3","2","1","79","77","2","750","0.75",""
"Ready rumah baru siap bangun di gasem pedurungan","https://www.rumah123.com/properti/semarang/hos16443983/","Diperbarui 21 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","3","1","1","80","58","1","475","0.475",""
"Dijual unit 2 Lantai rumah di taman asri pedurungan","https://www.rumah123.com/properti/semarang/hos16444136/","Diperbarui 21 jam yang lalu oleh","Rochman Property","Rumah","Pedurungan, Semarang","4","2","1","125","120","3","825","0.825",""
"Kost di Jalan Fatmawati Pedurungan Semarang Timur","https://www.rumah123.com/properti/semarang/hos12261680/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Pedurungan, Semarang","15","5","5","157","157","9","2.5","2.5",""
"Rumah di Jalan Kartini Semarang Timur","https://www.rumah123.com/properti/semarang/hos12261683/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Gayamsari, Semarang","5","3","1","163","300","8","2.25","2.25",""
"Rumah di Grand Amarta Tamansari Pedurungan Semarang Timur","https://www.rumah123.com/properti/semarang/hos12261676/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Pedurungan, Semarang","3","3","2","173","100","6","1.82","1.82",""
"Rumah di Fatmawati Pedurungan","https://www.rumah123.com/properti/semarang/hos12261719/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Pedurungan, Semarang","5","3","3","233","400","13","3.5","3.5",""
"Rumah di Jalan Gutitan Semarang Timur","https://www.rumah123.com/properti/semarang/hos12261706/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Semarang Timur, Semarang","4","2","1","90","90","2","600","0.6",""
"Rumah di Jalan Rogojembangan Timur Tembalang Semarang Selatan","https://www.rumah123.com/properti/semarang/hos12261709/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Tembalang, Semarang","3","2","2","200","200","4","1.25","1.25",""
"Rumah Kost di Gang Sahabat Ngesrep Tembalang","https://www.rumah123.com/properti/semarang/hos12261711/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Tembalang, Semarang","10","10","5","1","1","13","3.5","3.5",""
"Rumah di Jalan Gakah Raya Semarang Timur","https://www.rumah123.com/properti/semarang/hos12261700/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Gayamsari, Semarang","2","2","2","233","220","10","2.75","2.75",""
"Rumah di Perumahan Griya Mandiri Banyumanik","https://www.rumah123.com/properti/semarang/hos12261737/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Banyumanik, Semarang","3","1","2","98","98","1","485","0.485",""
"Rumah di Pandanaran Hills Tembalang","https://www.rumah123.com/properti/semarang/hos12261764/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Tembalang, Semarang","4","2","1","120","120","3","975","0.975",""
"Rumah di Jalan Puri Eksekutif Tawangsari Semarang Barat","https://www.rumah123.com/properti/semarang/hos12261731/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Semarang Barat, Semarang","4","3","2","360","400","13","3.5","3.5",""
"Rumah di Pedurungan Tengah Semarang Timur","https://www.rumah123.com/properti/semarang/hos12261763/","Diperbarui 18 jam yang lalu oleh","Cecillia 4","Rumah","Pedurungan, Semarang","8","4","4","300","400","6","1.65","1.65",""
"Rumah di Jalan Cemara Raya Banyumanik","https://www.rumah123.com/properti/semarang/hos12261759/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Banyumanik, Semarang","3","2","2","720","720","18","5","5",""
"Rumah di Tlogomulyo Residence Pedurungan","https://www.rumah123.com/properti/semarang/hos12261761/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Pedurungan, Semarang","4","3","1","1120","160","3","875","0.875",""
"Rumah di Jalan Jambu Raya Banyumanik","https://www.rumah123.com/properti/semarang/hos12261758/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Banyumanik, Semarang","5","3","1","400","350","10","2.7","2.7",""
"Rumah di Plamongan Indah Semarang Timur","https://www.rumah123.com/properti/semarang/hos12261753/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Pedurungan, Semarang","3","1","1","77","77","1","345","0.345",""
"Rumah di BPI Ngaliyan Semarang Barat","https://www.rumah123.com/properti/semarang/hos12261756/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Ngaliyan, Semarang","6","3","1","180","180","3","1","1",""
"Rumah di Plamongan Indah","https://www.rumah123.com/properti/semarang/hos12261801/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Pedurungan, Semarang","2","1","1","78","105","1","390","0.39",""
"Rumah Di Kalingga Banyumanik","https://www.rumah123.com/properti/semarang/hos12261792/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Banyumanik, Semarang","5","4","1","400","800","17","4.7","4.7",""
"Rumah di Srondol Sari Banyumanik","https://www.rumah123.com/properti/semarang/hos12261789/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Banyumanik, Semarang","4","2","1","120","177","6","1.7","1.7",""
"Rumah di Jalan Kanfer Raya Banyumanik","https://www.rumah123.com/properti/semarang/hos12261798/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Banyumanik, Semarang","4","3","2","220","130","10","2.8","2.8",""
"Rumah Mewah dengan harga terjangkau area Undip Atas","https://www.rumah123.com/properti/semarang/hos13923901/","Diperbarui 3 bulan yang lalu oleh","Mia Besty","Rumah","Banyumanik, Semarang","4","4","2","400","250","11","3","3",""
"Rumah di Pengilon Ngaliyan","https://www.rumah123.com/properti/semarang/hos12261787/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Ngaliyan, Semarang","4","2","4","80","160","6","1.8","1.8",""
"Rumah Baru Siranda View Tembalang","https://www.rumah123.com/properti/semarang/hos12261783/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Tembalang, Semarang","2","1","","72","36","1","470","0.47",""
"RUMAH MODERN CITRASUN GARDEN SEMARANG ! 2 Lantai SHM","https://www.rumah123.com/properti/semarang/hos16634229/","Diperbarui 1 minggu yang lalu oleh","Julianto property Julianto","Rumah","Semarang Selatan, Semarang","3","3","1","126","198","10","2.7","2.7",""
"Ruko di Jalan Soekarno Hatta","https://www.rumah123.com/properti/semarang/hos12261834/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Semarang Tengah, Semarang","2","2","","127","127","9","2.55","2.55",""
"Rumah di Jalan Siroto Banyumanik","https://www.rumah123.com/properti/semarang/hos12261776/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Banyumanik, Semarang","2","2","1","78","66","2","725","0.725",""
"Rumah di Lompo Batang Candisari","https://www.rumah123.com/properti/semarang/hos12261774/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Gayamsari, Semarang","3","3","","130","160","8","2.25","2.25",""
"Rumah di Jalan Griya Mas Papandayan","https://www.rumah123.com/properti/semarang/hos12261773/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Gajah Mungkur, Semarang","3","3","1","355","470","14","4","4",""
"Rumah di Taman Lebdosari","https://www.rumah123.com/properti/semarang/hos12261825/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Semarang Barat, Semarang","2","2","","190","205","3","900","0.9",""
"Rumah di Tegalsari Raya","https://www.rumah123.com/properti/semarang/hos12261830/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Candisari, Semarang","4","2","","240","200","10","2.8","2.8",""
"Rumah Mewah Geodngsongo Manyaran Semarang Barat, Semarang","https://www.rumah123.com/properti/semarang/hos16549091/","Diperbarui 3 minggu yang lalu oleh","Rikza Bashony","Rumah","Semarang Barat, Semarang","4","4","","195","220","9","2.5","2.5",""
"Rumah di Griya Payung Asri","https://www.rumah123.com/properti/semarang/hos12261821/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Banyumanik, Semarang","3","2","2","240","210","5","1.35","1.35",""
"Rumah di Unta Raya","https://www.rumah123.com/properti/semarang/hos12261814/","Diperbarui 21 jam yang lalu oleh","Cecillia 4","Rumah","Semarang Selatan, Semarang","2","3","","326","300","10","2.7","2.7",""
