"Judul","Title_URL","Update","Agen","Jenis_Rumah","Lokasi","KT","KM","Garasi","LT","LB","KPR_bulanan","Harga","Harga_New","Juta"
"Rumah di Graha Fatro Woltermonginsidi Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos16552938/","Diperbarui 4 hari yang lalu oleh","Ginanjar","Rumah","Pedurungan, Semarang","3","2","1","70","200","3","820","0.82",""
"Graha Fatro Woltermonginsidi Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos16552829/","Diperbarui 3 minggu yang lalu oleh","Ginanjar","Rumah","Pedurungan, Semarang","3","2","1","175","70","2","775","0.775",""
"Rumah Bagus Mewah Tengah Kota Siap Huni Dijual di Graha Padma Boulevard ,semarang Barat 11.762 any","https://www.rumah123.com/properti/semarang/hos16552776/","Diperbarui 3 minggu yang lalu oleh","Nicodemus Muliadi","Rumah","Semarang Barat, Semarang","4","3","","360","210","15","4.2","4.2",""
"Dijual Rumah di Permata Puri Ngaliyan Semarang , lokasi strategis","https://www.rumah123.com/properti/semarang/hos16552759/","Diperbarui 3 minggu yang lalu oleh","Khristina Atmodjo","Rumah","Ngaliyan, Semarang","6","3","2","150","250","4","1.2","1.2",""
"Rumah Dijual Rumah Cantik Minimalis di Rivera, Candi Golf, Semarang 11.734 Mrt","https://www.rumah123.com/properti/semarang/hos16552708/","Diperbarui 3 minggu yang lalu oleh","Nicodemus Muliadi","Rumah","Candisari, Semarang","5","4","","160","180","14","4","4",""
"Rumah Tengah Kota Siap Huni Dijual di Mawar Greenwood Manyaran Gunungpati Semarang Barat 11.733 mrt","https://www.rumah123.com/properti/semarang/hos16552544/","Diperbarui 3 minggu yang lalu oleh","Nicodemus Muliadi","Rumah","Semarang Barat, Semarang","7","5","","575","350","10","2.9","2.9",""
"Jual Rumah Cocok Usaha Kantor Jalan Puri Anjasmoro Semarang 8725","https://www.rumah123.com/properti/semarang/hos16552055/","Diperbarui 3 minggu yang lalu oleh","Agus chandra santosa","Rumah","Semarang Barat, Semarang","4","3","","308","250","8","2.25","2.25",""
"Rumah di Daerah Banyumanik , Semarang Nc 6280","https://www.rumah123.com/properti/semarang/hos16550551/","Diperbarui 3 minggu yang lalu oleh","Nancy Redland","Rumah","Banyumanik, Semarang","8","5","3","383","500","13","3.7","3.7",""
"Jual Rumah Siap Huni, Cantik Dan Nyaman Bsb City Semarang 8717","https://www.rumah123.com/properti/semarang/hos16551863/","Diperbarui 3 minggu yang lalu oleh","Agus chandra santosa","Rumah","Semarang Barat, Semarang","2","1","2","120","46","5","1.35","1.35",""
"Jual Murah Saja CitraSun Garden Bukit Sari Banyumanik","https://www.rumah123.com/properti/semarang/hos16092491/","Diperbarui 1 minggu yang lalu oleh","Alexander Handy","Rumah
Featured","Banyumanik, Semarang","3","2","1","90","105","6","1.75","1.75",""
"Rumah Candi Prambanan Manyaran Semarang Barat","https://www.rumah123.com/properti/semarang/hos15275908/","Diperbarui 1 bulan yang lalu oleh","Alexander Handy","Rumah","Semarang Barat, Semarang","4","3","1","123","214","7","1.95","1.95",""
"Dijual rumah di pedurungan semarang","https://www.rumah123.com/properti/semarang/hos16550930/","Diperbarui 2 minggu yang lalu oleh","Winny","Rumah","Pedurungan, Semarang","3","2","","135","135","3","850","0.85",""
"Rumah di Daerah Pedurungan , Semarang Yl 6278","https://www.rumah123.com/properti/semarang/hos16550862/","Diperbarui 3 minggu yang lalu oleh","Yoelan Redland","Rumah","Pedurungan, Semarang","2","1","1","85","85","1","425","0.425",""
"rumah semarang timur rumah pedurungan rumah baru semarang kota","https://www.rumah123.com/properti/semarang/hos16550668/","Diperbarui 3 minggu yang lalu oleh","MAS TO","Rumah","Semarang Timur, Semarang","2","1","1","80","51","1","482","0.482",""
"Dijual Rumah Murah Mewah Di Permata Puri Ngaliyan","https://www.rumah123.com/properti/semarang/hos16550670/","Diperbarui 2 minggu yang lalu oleh","Baginda Revian","Rumah","Ngaliyan, Semarang","6","3","1","150","250","4","1.2","1.2",""
"Spesial cluster terbaru termurah dan ternyaman","https://www.rumah123.com/properti/semarang/hos16550611/","Diperbarui 2 minggu yang lalu oleh","Rohman al chalim","Rumah","Ngaliyan, Semarang","2","1","1","127","55","1","400","0.4",""
"Rumah Cantik Siap Huni Cluster Citragrand Boulevard, Tembalang 11.488 nic","https://www.rumah123.com/properti/semarang/hos16550482/","Diperbarui 3 minggu yang lalu oleh","Nicodemus Muliadi","Rumah","Tembalang, Semarang","7","7","","180","290","14","3.8","3.8",""
